goos: windows
goarch: amd64
pkg: github.com/MrEthical07/goAuth
cpu: AMD Ryzen 7 5800HS with Radeon Graphics        
BenchmarkMetricsIncParallel-16                           	30065467	        39.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncParallel-16                           	29456960	        40.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncParallel-16                           	30664028	        39.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncParallel-16                           	29836124	        39.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncParallel-16                           	30897097	        38.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncParallel-16                           	31052283	        39.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncDisabledParallel-16                   	1000000000	         0.1627 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncDisabledParallel-16                   	1000000000	         0.1623 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncDisabledParallel-16                   	1000000000	         0.1604 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncDisabledParallel-16                   	1000000000	         0.1748 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncDisabledParallel-16                   	1000000000	         0.1826 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncDisabledParallel-16                   	1000000000	         0.1864 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncDisabledParallel-16                   	1000000000	         0.1913 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncDisabledParallel-16                   	1000000000	         0.1608 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncDisabledParallel-16                   	1000000000	         0.1622 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncDisabledParallel-16                   	1000000000	         0.2198 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsObserveLatencyParallel-16                	38068528	        31.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsObserveLatencyParallel-16                	38011732	        31.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsObserveLatencyParallel-16                	38422622	        31.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsObserveLatencyParallel-16                	38262865	        31.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsObserveLatencyParallel-16                	37698979	        31.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsObserveLatencyParallel-16                	38653940	        31.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsObserveLatencyParallel-16                	38124284	        31.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsObserveLatencyParallel-16                	38726041	        31.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsObserveLatencyParallel-16                	37967354	        31.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsObserveLatencyParallel-16                	38698191	        31.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPaddedRoundRobin-16      	45749142	        26.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPaddedRoundRobin-16      	45392474	        26.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPaddedRoundRobin-16      	44814746	        26.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPaddedRoundRobin-16      	44545909	        26.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPaddedRoundRobin-16      	44437038	        27.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPaddedRoundRobin-16      	42600625	        27.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPaddedRoundRobin-16      	45045721	        26.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPaddedRoundRobin-16      	45145537	        27.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPaddedRoundRobin-16      	44388218	        26.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPaddedRoundRobin-16      	45368962	        26.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPackedRoundRobin-16      	26928954	        44.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPackedRoundRobin-16      	27151962	        44.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPackedRoundRobin-16      	27608991	        44.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPackedRoundRobin-16      	27064148	        44.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPackedRoundRobin-16      	27033967	        44.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPackedRoundRobin-16      	27160135	        44.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPackedRoundRobin-16      	27303008	        44.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPackedRoundRobin-16      	27167329	        44.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPackedRoundRobin-16      	27094762	        44.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPackedRoundRobin-16      	26933850	        44.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPaddedPseudoRandom-16    	51241539	        23.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPaddedPseudoRandom-16    	47768608	        23.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPaddedPseudoRandom-16    	51057528	        23.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPaddedPseudoRandom-16    	50968182	        23.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPaddedPseudoRandom-16    	50946543	        23.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPaddedPseudoRandom-16    	51475192	        23.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPaddedPseudoRandom-16    	52412503	        23.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPaddedPseudoRandom-16    	50660058	        23.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPaddedPseudoRandom-16    	51842122	        23.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPaddedPseudoRandom-16    	51408154	        23.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPackedPseudoRandom-16    	28074771	        41.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPackedPseudoRandom-16    	29178408	        41.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPackedPseudoRandom-16    	28416490	        41.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPackedPseudoRandom-16    	28898392	        41.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPackedPseudoRandom-16    	29027646	        41.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPackedPseudoRandom-16    	29178124	        40.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPackedPseudoRandom-16    	29490840	        41.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPackedPseudoRandom-16    	29011364	        41.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPackedPseudoRandom-16    	29508897	        41.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkMetricsIncMixedParallelPackedPseudoRandom-16    	28926117	        41.59 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/MrEthical07/goAuth	169.757s
